gene_id	gene_name	GF1	GF2	GF_noICI1	GF_noICI2	ctrl1	ctrl2	effector1	effector2
ENSMUSG00000030611	Mrps11	1742.0	2254.0	1628.0	1221.0	2258.0	1795.0	2603.0	1901.0
ENSMUSG00000030610	Det1	171.0	190.0	166.0	168.0	215.0	219.0	292.0	178.0
ENSMUSG00000030609	Aen	2084.0	2432.0	2000.0	1435.0	2738.0	1800.0	2718.0	1782.0
ENSMUSG00000039236	Isg20	13831.0	16568.0	10171.0	7530.0	16895.0	11142.0	17876.0	11150.0
ENSMUSG00000030605	Mfge8	595.0	832.0	551.0	459.0	735.0	636.0	806.0	664.0
ENSMUSG00000039202	Abhd2	1422.0	1466.0	1286.0	1060.0	1651.0	1416.0	1473.0	1312.0
ENSMUSG00000039187	Fanci	101.0	88.0	88.0	64.0	115.0	99.0	121.0	107.0
ENSMUSG00000039176	Polg	389.0	492.0	346.0	458.0	507.0	600.0	550.0	576.0
ENSMUSG00000046591	Ticrr	139.0	133.0	122.0	71.0	157.0	148.0	177.0	127.0
ENSMUSG00000050382	Kif7	80.0	93.0	89.0	68.0	112.0	89.0	99.0	103.0
ENSMUSG00000030545	Pex11a	88.0	74.0	50.0	51.0	79.0	59.0	96.0	74.0
ENSMUSG00000063801	Ap3s2	1152.0	1323.0	943.0	746.0	1538.0	1121.0	1616.0	1148.0
ENSMUSG00000097699	5430400D12Rik	50.0	92.0	49.0	45.0	71.0	101.0	90.0	90.0
ENSMUSG00000048897	Zfp710	109.0	127.0	92.0	121.0	123.0	116.0	120.0	111.0
ENSMUSG00000108714	Gm21057	12.0	13.0	14.0	4.0	12.0	9.0	15.0	4.0
ENSMUSG00000030541	Idh2	659.0	760.0	638.0	617.0	792.0	926.0	758.0	835.0
ENSMUSG00000030539	Sema4b	97.0	146.0	118.0	116.0	96.0	144.0	147.0	160.0
ENSMUSG00000030538	Cib1	3040.0	3680.0	2859.0	2141.0	3579.0	3065.0	4112.0	3172.0
ENSMUSG00000050973	Gdpgp1	294.0	354.0	264.0	220.0	344.0	258.0	338.0	295.0
ENSMUSG00000047084	Ngrn	904.0	1116.0	839.0	763.0	1197.0	864.0	1119.0	941.0
ENSMUSG00000030534	Vps33b	763.0	906.0	802.0	629.0	937.0	686.0	1010.0	763.0
ENSMUSG00000038930	Rccd1	176.0	190.0	163.0	166.0	191.0	218.0	197.0	173.0
ENSMUSG00000038943	Prc1	261.0	255.0	216.0	145.0	352.0	181.0	248.0	210.0
ENSMUSG00000030533	Unc45a	1947.0	2523.0	1722.0	1733.0	2281.0	2229.0	2395.0	2273.0
ENSMUSG00000030532	Hddc3	105.0	128.0	88.0	85.0	147.0	96.0	114.0	87.0
